Present,Adly Zahari,Alor Gajah
Present,Afnan Hamimi Taib Azamudden,Alor Setar
Present,Rodziah Ismail,Ampang
Present,Shahidan Kassim,Arau
Present,Wee Ka Siong,Ayer Hitam
Present,Mohd Syahir Che Sulaiman,Bachok
Present,Lim Guan Eng,Bagan
Absent,Ahmad Zahid Hamidi,Bagan Datuk
Present,Idris Ahmad,Bagan Serai
Present,Tan Hong Pin,Bakri
Present,Muhammad Bakhtiar Wan Chik,Balik Pulau
Present,Hassan Saad,Baling
Present,Kelvin Yii Lee Wuen,Bandar Kuching
Present,Wan Azizah Wan Ismail,Bandar Tun Razak
Present,Syahredzan Johan,Bangi
Present,Anyi Ngau,Baram
Present,Mohamad Shafizan Kepli,Batang Lupar
Present,Rodiyah Sapiee,Batang Sadong
Present,Prabakaran Parameswaran,Batu
Absent,Sivakumar Varatharaju Naidu,Batu Gajah
Absent,Chow Kon Yeow,Batu Kawan
Present,Onn Abu Bakar,Batu Pahat
Absent,Khairul Firdaus Akbar Khan,Batu Sapi
Present,Sim Tze Tzin,Bayan Baru
Absent,Siti Aminah Aching,Beaufort
Present,Ronald Kiandee,Beluran
Present,Young Syefura Othman,Bentong
Absent,Ismail Sabri Yaakob,Bera
Present,Ngeh Koo Ham,Beruas
Present,Che Mohamad Zulkifly Jusoh,Besut
Present,Richard Rapu @ Aman Begri,Betong
Absent,Tiong King Sing,Bintulu
Present,Syerleena Abdul Rashid,Bukit Bendera
Present,Fong Kui Lun,Bukit Bintang
Present,Syed Abu Hussin Hafiz Syed Abdul Fasal,Bukit Gantang
Present,Ramkarpal Singh,Bukit Gelugor
Absent,Sim Chee Keong,Bukit Mertajam
Present,Ramli Mohd Nor,Cameron Highlands
Present,Tan Kok Wai,Cheras
Present,Gobind Singh Deo,Damansara
Present,Wan Hassan Mohd Ramli,Dungun
Present,Fathul Huzir Ayob,Gerik
Absent,Amirudin Shari,Gombak
Present,Tan Kar Hing,Gopeng
Present,Mohd Azizi Abu Naim,Gua Musang
Absent,Adam Adli Abd Halim,Hang Tuah Jaya
Present,Mohd Sany Hamzan,Hulu Langat
Present,Wilson Ugak Kumbong,Hulu Rajang
Present,Mohd Hasnizan Harun,Hulu Selangor
Present,Rosol Wahid,Hulu Terengganu
Present,Ahmad Johnie Zawawi,Igan
Present,Saifuddin Abdullah,Indera Mahkota
Absent,M. Kulasegaran,Ipoh Barat
Present,Lee Chuan How,Ipoh Timor
Present,Liew Chin Tong,Iskandar Puteri
Present,Zulkifli Ismail,Jasin
Present,Jalaluddin Alias,Jelebu
Present,Zahari Kechik,Jeli
Present,Sanisvara Nethaji Rayer Rajaji,Jelutong
Present,Shamshulkahar Mohd Deli,Jempol
Present,Sabri Azit,Jerai
Present,Khairil Nizam Khirudin,Jerantut
Present,Abd Ghani Ahmad,Jerlun
Present,Akmal Nasrullah Mohd Nasir,Johor Bahru
Present,Larry Soon @ Larry Sng Wei Shien,Julau
Absent,Andi Muhammad Suryady Bandy,Kalabakan
Present,Chong Zhemin,Kampar
Present,Zakri Hassan,Kangar
Absent,Aaron Ago Dagang,Kanowit
Present,Halimah Ali,Kapar
Absent,Alexander Nanta Linggi,Kapit
Present,Ahmad Samsuri Mokhtar,Kemaman
Absent,Gapari Katingan @ Geoffrey Kitingan,Keningau
Present,Siti Mastura Muhammad,Kepala Batas
Present,Lim Lip Eng,Kepong
Present,Khlir Mohd Nor,Ketereh
Absent,Mohamad Alamin,Kimanis
Absent,Bung Moktar Radin,Kinabatangan
Present,Ganabatirau Veraman,Klang
Present,Wong Shu Qi,Kluang
Absent,Isnaraissah Munirah Majilis,Kota Belud
Present,Takiyuddin Hassan,Kota Bharu
Absent,Chan Foong Hin,Kota Kinabalu
Present,Wetrom Bahanda,Kota Marudu
Present,Khoo Poay Tiong,Kota Melaka
Absent,Mohamad Sabu,Kota Raja
Present,Rubiah Wang,Kota Samarahan
Absent,Mohamed Khaled Nordin,Kota Tinggi
Present,Iskandar Dzulkarnain Abdul Khalid,Kuala Kangsar
Present,Ahmad Fakhruddin Fakhrurazi,Kuala Kedah
Present,Abdul Latiff Abdul Rahman,Kuala Krai
Present,Kamal Ashaari,Kuala Krau
Present,Ahmad Yunus Hairi,Kuala Langat
Present,Alias Razak,Kuala Nerus
Present,Adnan Abu Hassan,Kuala Pilah
Present,Dzulkefly Ahmad,Kuala Selangor
Present,Ahmad Amzad Mohamed @ Hashim,Kuala Terengganu
Present,Wan Razali Wan Nor,Kuantan
Present,Tuan Ibharim Tuan Man,Kubang Kerian
Present,Ku Abd Rahman Ku Ismail,Kubang Pasu
Present,Verdon Bahanda,Kudat
Present,Teo Nie Ching,Kulai
Present,Roslan Hashim,Kulim Bandar Baharu
Present,Pang Hok Liong,Labis
Absent,Suhaili Abdul Rahman,Labuan
Absent,Mohammad Yusof Apdal,Lahad Datu
Present,Alice Lau Kiong Yieng,Lanang
Present,Mohd Suhaimi Abdullah,Langkawi
Present,Hamzah Zainudin,Larut
Absent,Henry Sum Agong,Lawas
Present,Syed Ibrahim Syed Noh,Ledang
Present,Ahmad Fahmi Mohamed Fadzil,Lembah Pantai
Present,Shamsul Anuar Nasarah,Lenggong
Absent,Suhaimi Nasir,Libaran
Present,Hasbi Habibollah,Limbang
Absent,Abdul Rahman Mohamad,Lipis
Present,Roy Angau Gingkoi,Lubok Antu
Present,Nordin Ahmad Ismail,Lumut
Present,Wan Ahmad Fayhsal Wan Ahmad Kamal,Machang
Present,Ismail Abd. Muttalib,Maran
Present,Abdul Hadi Awang,Marang
Present,Mordi Bimol,Mas Gading
Present,Mas Ermieyati Samsudin,Masjid Tanah
Present,Mohd Nazri Abu Hassan,Merbok
Present,Muhammad Islahuddin Abas,Mersing
Present,Chiew Choon Man,Miri
Present,Syed Saddiq Syed Abdul Rahman,Muar
Present,Hanifah Hajar Taib,Mukah
Present,Fadhlina Sidek,Nibong Tebal
Present,Rushdan Rusmi,Padang Besar
Present,Azahari Hasan,Padang Rengas
Present,Azman Nasrudin,Padang Serai
Present,Nurul Amin Hamid,Padang Terap
Present,Mahiaddin Mohd. Yassin,Pagoh
Present,Mohd Rafizi Ramli,Pandan
Absent,Armizan Mohd Ali,Papar
Present,Muhammad Ismi Mat Taib,Parit
Present,Mohd Misbahul Munir Masduki,Parit Buntar
Present,Noraini Ahmad,Parit Sulong
Present,Hassan Abdul Karim,Pasir Gudang
Present,Ahmad Fadhli Shaari,Pasir Mas
Present,Nik Muhammad Zawawi Salleh,Pasir Puteh
Present,Jamaludin Yahya,Pasir Salak
Present,Mohd Shahar Abdullah,Paya Besar
Present,Mohmed Puzi Sh Ali,Pekan
Absent,Ewon Benedick,Penampang
Present,Awang Hashim,Pendang
Present,Azalina Othman Said,Pengerang
Present,Ahmad Marzuk Shaary,Pengkalan Chepa
Absent,Arthur Joseph Kurup,Pensiangan
Present,Muhammad Fawwaz Mohamad Jan,Permatang Pauh
Present,Lee Chean Chung,Petaling Jaya
Present,Fadillah Yusof,Petra Jaya
Present,Ahmad Saad @ Yahaya,Pokok Sena
Present,Ahmad Maslan,Pontian
Absent,Aminuddin Harun,Port Dickson
Present,Yeo Bee Yin,Puchong
Present,Suhaizan Kaiat,Pulai
Present,Willie Mongin,Puncak Borneo
Absent,Shahelmey Yahya,Putatan
Present,Radzi Jidin,Putrajaya
Absent,Jonathan Yasin,Ranau
Present,Siti Zailah Mohd. Yusoff,Rantau Panjang
Present,Cha Kee Chin,Rasah
Absent,Chow Yu Hui,Raub
Absent,Mohamad Haji Hasan,Rembau
Present,Abdul Khalib Abdullah,Rompin
Present,Kalam Salan,Sabak Bernam
Present,Vivian Wong Shir Yee,Sandakan
Present,Nancy Shukri,Santubong
Absent,Ali Biju,Saratok
Present,Huang Tiong Sii,Sarikei
Present,Yuneswaran Ramaraj,Segamat
Present,Hannah Yeoh,Segambut
Absent,Zaliha Mustafa,Sekijang
Present,Edwin Banta,Selangau
Present,William Leong Jee Keen,Selayang
Absent,Hishammuddin Tun Hussein,Sembrong
Absent,Mohd Shafie Apdal,Semporna
Present,Aiman Athirah Sabu,Sepang
